assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
86678952,22693264,Actitis hypoleucos,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Actitis,hypoleucos,,,,"Linnaeus, 1758",Least Concern,,3.1,Decreasing,Global
86680632,22693243,Tringa ochropus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,ochropus,,,,"Linnaeus, 1758",Least Concern,,3.1,Increasing,Global
86682083,22693207,Tringa erythropus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,erythropus,,,,"(Pallas, 1764)",Least Concern,,3.1,Stable,Global
86684205,22693220,Tringa nebularia,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,nebularia,,,,"(Gunnerus, 1767)",Least Concern,,3.1,Stable,Global
86687799,22693211,Tringa totanus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,totanus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
86689640,22693247,Tringa glareola,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,glareola,,,,"Linnaeus, 1758",Least Concern,,3.1,Stable,Global
86691256,22693216,Tringa stagnatilis,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,stagnatilis,,,,"(Bechstein, 1803)",Least Concern,,3.1,Decreasing,Global
86772583,22694782,Chlidonias leucopterus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,LARIDAE,Chlidonias,leucopterus,,,,"(Temminck, 1815)",Least Concern,,3.1,Stable,Global
86871093,22725469,Strix aluco,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Strix,aluco,,,,"Linnaeus, 1758",Least Concern,,3.1,Stable,Global
87339356,22705038,Lanius minor,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LANIIDAE,Lanius,minor,,,,"Gmelin, 1788",Least Concern,,3.1,Decreasing,Global
87382835,103727252,Nucifraga caryocatactes,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CORVIDAE,Nucifraga,caryocatactes,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
87384853,22705916,Pyrrhocorax pyrrhocorax,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CORVIDAE,Pyrrhocorax,pyrrhocorax,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
87386602,22705921,Pyrrhocorax graculus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CORVIDAE,Pyrrhocorax,graculus,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Stable,Global
87399543,22708146,Bombycilla garrulus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BOMBYCILLIDAE,Bombycilla,garrulus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
87431138,22735990,Parus major,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PARIDAE,Parus,major,,,,"Linnaeus, 1758",Least Concern,,3.1,Increasing,Global
87434883,22735985,Cyanistes cyanus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PARIDAE,Cyanistes,cyanus,,,,"(Pallas, 1770)",Least Concern,,3.1,Decreasing,Global
87485192,22717285,Melanocorypha calandra,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ALAUDIDAE,Melanocorypha,calandra,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
87560838,22714684,Locustella luscinioides,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LOCUSTELLIDAE,Locustella,luscinioides,,,,"(Savi, 1824)",Least Concern,,3.1,Stable,Global
87610887,22714904,Hippolais languida,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ACROCEPHALIDAE,Hippolais,languida,,,,"(Ehrenberg, 1833)",Least Concern,,3.1,Stable,Global
87636348,22715240,Phylloscopus trochilus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHYLLOSCOPIDAE,Phylloscopus,trochilus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
87668662,22715260,Phylloscopus sibilatrix,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHYLLOSCOPIDAE,Phylloscopus,sibilatrix,,,,"(Bechstein, 1793)",Least Concern,,3.1,Decreasing,Global
87716403,22716937,Curruca nisoria,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,SYLVIIDAE,Curruca,nisoria,,,,"(Bechstein, 1795)",Least Concern,,3.1,Stable,Global
87755889,22716971,Curruca mystacea,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,SYLVIIDAE,Curruca,mystacea,,,,"(Ménétries, 1832)",Least Concern,,3.1,Stable,Global
87767500,22716776,Panurus biarmicus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PANURIDAE,Panurus,biarmicus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
87827898,22711211,Sitta tephronota,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,SITTIDAE,Sitta,tephronota,,,,"Sharpe, 1872",Least Concern,,3.1,Stable,Global
87844468,22710881,Pastor roseus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,STURNIDAE,Pastor,roseus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
87871094,103888106,Turdus merula,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TURDIDAE,Turdus,merula,,,,"Linnaeus, 1758",Least Concern,,3.1,Increasing,Global
87874379,22708816,Turdus pilaris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TURDIDAE,Turdus,pilaris,,,,"Linnaeus, 1758",Least Concern,,3.1,Stable,Global
87878799,22708829,Turdus viscivorus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TURDIDAE,Turdus,viscivorus,,,,"Linnaeus, 1758",Least Concern,,3.1,Decreasing,Global
87882842,22709691,Luscinia luscinia,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Luscinia,luscinia,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
87892860,105294257,Tarsiger cyanurus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Tarsiger,cyanurus,,,,"(Pallas, 1773)",Least Concern,,3.1,Stable,Global
87893515,22709758,Irania gutturalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Irania,gutturalis,,,,"(Guérin-Méneville, 1843)",Least Concern,,3.1,Stable,Global
87906903,22710156,Saxicola rubetra,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Saxicola,rubetra,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
87927176,22710308,Oenanthe pleschanka,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Oenanthe,pleschanka,,,,"(Lepechin, 1770)",Least Concern,,3.1,Stable,Global
87931767,22710333,Oenanthe isabellina,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Oenanthe,isabellina,,,,"(Temminck, 1829)",Least Concern,,3.1,Stable,Global
87933903,22708286,Monticola solitarius,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Monticola,solitarius,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
88032500,22718307,Petronia petronia,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PASSERIDAE,Petronia,petronia,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Increasing,Global
88039291,22718617,Prunella collaris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PRUNELLIDAE,Prunella,collaris,,,,"(Scopoli, 1769)",Least Concern,,3.1,Stable,Global
88042898,22718644,Prunella atrogularis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PRUNELLIDAE,Prunella,atrogularis,,,,"(Brandt, 1844)",Least Concern,,3.1,Stable,Global
88191672,22718550,Anthus hodgsoni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MOTACILLIDAE,Anthus,hodgsoni,,,,"Richmond, 1907",Least Concern,,3.1,Stable,Global
88203665,22720041,Fringilla montifringilla,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Fringilla,montifringilla,,,,"Linnaeus, 1758",Least Concern,,3.1,Decreasing,Global
88223299,22720045,Serinus pusillus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Serinus,pusillus,,,,"(Pallas, 1811)",Least Concern,,3.1,Stable,Global
88499273,22725105,Rhodopechys sanguineus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Rhodopechys,sanguineus,,,,"(Gould, 1838)",Least Concern,,3.1,Stable,Global
88509707,22720532,Rhodospiza obsoleta,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Rhodospiza,obsoleta,,,,"(Lichtenstein, 1823)",Least Concern,,3.1,Stable,Global
88642593,22720610,Carpodacus rubicilla,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Carpodacus,rubicilla,,,,"(Güldenstädt, 1775)",Least Concern,,3.1,Stable,Global
89289181,22720878,Emberiza citrinella,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,EMBERIZIDAE,Emberiza,citrinella,,,,"Linnaeus, 1758",Least Concern,,3.1,Decreasing,Global
89314245,22720990,Emberiza melanocephala,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,EMBERIZIDAE,Emberiza,melanocephala,,,,"Scopoli, 1769",Least Concern,,3.1,Unknown,Global
89516443,22710325,Oenanthe deserti,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Oenanthe,deserti,,,,"(Temminck, 1825)",Least Concern,,3.1,Stable,Global
89562931,22686856,Apus affinis,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,APODIDAE,Apus,affinis,,,,"(Gray, 1830)",Least Concern,,3.1,Increasing,Global
89569039,22694013,Vanellus indicus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,CHARADRIIDAE,Vanellus,indicus,,,,"(Boddaert, 1783)",Least Concern,,3.1,Unknown,Global
89575948,22683027,Alcedo atthis,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,ALCEDINIDAE,Alcedo,atthis,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
89641304,22720960,Emberiza rustica,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,EMBERIZIDAE,Emberiza,rustica,,,,"Pallas, 1776",Vulnerable,A2abcd+3bcd+4abcd,3.1,Decreasing,Global
92783114,22678649,Lerwa lerwa,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Lerwa,lerwa,,,,"(Hodgson, 1833)",Least Concern,,3.1,Decreasing,Global
92805983,22679179,Pucrasia macrolopha,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Pucrasia,macrolopha,,,,"(Lesson, 1829)",Least Concern,,3.1,Decreasing,Global
92806166,22679182,Lophophorus impejanus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Lophophorus,impejanus,,,,"(Latham, 1790)",Least Concern,,3.1,Decreasing,Global
92842427,22680090,Nettapus coromandelianus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Nettapus,coromandelianus,,,,"(Gmelin, 1789)",Least Concern,,3.1,Stable,Global
92846435,22680153,Mareca falcata,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Mareca,falcata,,,,"(Georgi, 1775)",Near Threatened,A2bd+3bd+4bd,3.1,Decreasing,Global
92855272,22680317,Sibirionetta formosa,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Sibirionetta,formosa,,,,"(Georgi, 1775)",Least Concern,,3.1,Increasing,Global
92891996,22681079,Leiopicus auriceps,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Leiopicus,auriceps,,,,"(Vigors, 1831)",Least Concern,,3.1,Stable,Global
92893400,22681130,Dendrocopos leucopterus,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Dendrocopos,leucopterus,,,,"(Salvadori, 1870)",Least Concern,,3.1,Stable,Global
92893795,22681136,Dendrocopos himalayensis,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Dendrocopos,himalayensis,,,,"(Jardine & Selby, 1835)",Least Concern,,3.1,Stable,Global
92907879,22681456,Picus squamatus,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Picus,squamatus,,,,"Vigors, 1831",Least Concern,,3.1,Stable,Global
92992024,22683620,Megaceryle lugubris,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,ALCEDINIDAE,Megaceryle,lugubris,,,,"(Temminck, 1834)",Least Concern,,3.1,Decreasing,Global
93002088,22683800,Clamator jacobinus,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Clamator,jacobinus,,,,"(Boddaert, 1783)",Least Concern,,3.1,Stable,Global
93005868,22683889,Cuculus poliocephalus,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Cuculus,poliocephalus,,,,"Latham, 1790",Least Concern,,3.1,Stable,Global
93074726,22685468,Himalayapsitta himalayana,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Himalayapsitta,himalayana,,,,"(Lesson, 1832)",Least Concern,,3.1,Stable,Global
93251979,22689906,Caprimulgus mahrattensis,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,CAPRIMULGIDAE,Caprimulgus,mahrattensis,,,,"Sykes, 1832",Least Concern,,3.1,Stable,Global
93253992,22689969,Caprimulgus asiaticus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,CAPRIMULGIDAE,Caprimulgus,asiaticus,,,,"Latham, 1790",Least Concern,,3.1,Stable,Global
93259855,22690074,Columba rupestris,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Columba,rupestris,,,,"Pallas, 1811",Least Concern,,3.1,Decreasing,Global
